periodo,fecha_mes,concepto,energia_mwh,energia_gwh
201710,2017-10-01,ENERGIA DISPONIBLE,128178.74288804882,128.17874288804882
201710,2017-10-01,PERDIDAS,1467.3487134771567,1.4673487134771568
201710,2017-10-01,PRODUCCION HIDRAULICA,78173.62378135766,78.17362378135766
201710,2017-10-01,PRODUCCION TERMICA,52127.98522935134,52.12798522935134
201710,2017-10-01,VENTA DE ENERGIA,128178.74288804879,128.1787428880488
201710,2017-10-01,VENTA EN COES,64405.1120180488,64.4051120180488
201711,2017-11-01,COMPRA DE ENERGIA,0.0,0.0
201711,2017-11-01,CONSUMOS AUX.,503.16068898342,0.50316068898342
201711,2017-11-01,CONTRATOS,61538.71139,61.538711389999996
201711,2017-11-01,ENERGIA DISPONIBLE,120987.50139,120.98750139
201711,2017-11-01,PERDIDAS,1373.6507807172602,1.3736507807172602
201711,2017-11-01,PRODUCCION HIDRAULICA,75053.46706970749,75.0534670697075
201711,2017-11-01,PRODUCCION TERMICA,47810.84578999318,47.81084578999318
201711,2017-11-01,VENTA DE ENERGIA,120987.50139,120.98750139
201711,2017-11-01,VENTA EN COES,59448.79,59.44879
201712,2017-12-01,COMPRA DE ENERGIA,0.0,0.0
201712,2017-12-01,CONSUMOS AUX.,496.19404341287355,0.49619404341287354
201712,2017-12-01,CONTRATOS,63296.63317,63.29663317
201712,2017-12-01,ENERGIA DISPONIBLE,125920.8048311258,125.9208048311258
201712,2017-12-01,PERDIDAS,1162.816367113046,1.162816367113046
201712,2017-12-01,PRODUCCION HIDRAULICA,78157.32074491712,78.15732074491712
201712,2017-12-01,PRODUCCION TERMICA,49422.49449673462,49.422494496734615
201712,2017-12-01,VENTA DE ENERGIA,125920.80483112579,125.92080483112579
201712,2017-12-01,VENTA EN COES,62624.1716611258,62.6241716611258
201801,2018-01-01,COMPRA DE ENERGIA,0.0,0.0
201801,2018-01-01,CONSUMOS AUX.,425.41875159954196,0.42541875159954196
201801,2018-01-01,CONTRATOS,56358.51015,56.35851015
201801,2018-01-01,ENERGIA DISPONIBLE,114658.84616911263,114.65884616911262
201801,2018-01-01,PERDIDAS,1506.075194261648,1.506075194261648
201801,2018-01-01,PRODUCCION HIDRAULICA,89076.6054710862,89.0766054710862
201801,2018-01-01,PRODUCCION TERMICA,27513.734643887612,27.513734643887613
201801,2018-01-01,VENTA DE ENERGIA,114658.84616911263,114.65884616911262
201801,2018-01-01,VENTA EN COES,58300.33601911261,58.30033601911261
201802,2018-02-01,COMPRA DE ENERGIA,0.0,0.0
201802,2018-02-01,CONSUMOS AUX.,392.1048405559568,0.3921048405559568
201802,2018-02-01,CONTRATOS,53587.74949999999,53.587749499999994
201802,2018-02-01,ENERGIA DISPONIBLE,101031.13160959429,101.03113160959428
201802,2018-02-01,PERDIDAS,1316.0620490569563,1.3160620490569563
201802,2018-02-01,PRODUCCION HIDRAULICA,91831.45220726957,91.83145220726956
201802,2018-02-01,PRODUCCION TERMICA,10907.846291937627,10.907846291937627
201802,2018-02-01,VENTA DE ENERGIA,101031.1316095943,101.0311316095943
201802,2018-02-01,VENTA EN COES,47443.3821095943,47.443382109594296
201803,2018-03-01,COMPRA DE ENERGIA,0.0,0.0
201803,2018-03-01,CONSUMOS AUX.,367.902341760994,0.36790234176099396
201803,2018-03-01,CONTRATOS,57366.246520000015,57.36624652000002
201803,2018-03-01,ENERGIA DISPONIBLE,113242.0812273953,113.2420812273953
201803,2018-03-01,PERDIDAS,1501.3847624637128,1.5013847624637129
201803,2018-03-01,PRODUCCION HIDRAULICA,108580.26092508776,108.58026092508776
201803,2018-03-01,PRODUCCION TERMICA,6531.107406532258,6.531107406532258
201803,2018-03-01,VENTA DE ENERGIA,113242.08122739532,113.24208122739532
201803,2018-03-01,VENTA EN COES,55875.8347073953,55.8758347073953
201804,2018-04-01,COMPRA DE ENERGIA,0.0,0.0
201804,2018-04-01,CONSUMOS AUX.,330.86296204615644,0.33086296204615645
201804,2018-04-01,CONTRATOS,56580.926790000005,56.58092679000001
201804,2018-04-01,ENERGIA DISPONIBLE,84886.427642963,84.886427642963
201804,2018-04-01,PERDIDAS,1229.4982440929452,1.2294982440929452
201804,2018-04-01,PRODUCCION HIDRAULICA,82397.80931302127,82.39780931302127
201804,2018-04-01,PRODUCCION TERMICA,4048.9795360808384,4.0489795360808385
201804,2018-04-01,VENTA DE ENERGIA,84886.42764296301,84.88642764296301
201804,2018-04-01,VENTA EN COES,28305.500852963,28.305500852963
201805,2018-05-01,COMPRA DE ENERGIA,0.0,0.0
201805,2018-05-01,CONSUMOS AUX.,332.21454926909,0.33221454926909
201805,2018-05-01,CONTRATOS,56420.910950000005,56.42091095000001
201805,2018-05-01,ENERGIA DISPONIBLE,72374.6300474613,72.3746300474613
201805,2018-05-01,PERDIDAS,1113.3409078462428,1.1133409078462428
201805,2018-05-01,PRODUCCION HIDRAULICA,67084.67838177184,67.08467838177184
201805,2018-05-01,PRODUCCION TERMICA,6735.507122804791,6.735507122804791
201805,2018-05-01,VENTA DE ENERGIA,72374.63004746131,72.37463004746131
201805,2018-05-01,VENTA EN COES,15953.7190974613,15.9537190974613
201806,2018-06-01,COMPRA DE ENERGIA,0.0,0.0
201806,2018-06-01,CONSUMOS AUX.,497.073958919471,0.49707395891947104
201806,2018-06-01,CONTRATOS,53905.991059999986,53.905991059999984
201806,2018-06-01,ENERGIA DISPONIBLE,69607.5235806144,69.6075235806144
